"","county_id","unemployment_rate","hs_graduation_rate","average_age","state","county","population","male_proportion","female_proportion","white_proportion","black_proportion","american_indian_proportion","asian_proportion","hawaiian_pacific_proportion","interracial_proportion","no_hispanic_proportion","hispanic_proportion","state_legislature","syringe_exchange","num_exchange","immunity_for_possession_of_naloxone_no_script","prescriber_immunity_criminal","poverty_rate"
"1295","05000US32007",0.059,0.72,33.5,"Nevada","Elko County",52283,52.08576402,47.91423598,88.50486774,1.396247346,6.342405753,1.139949888,0.256297458,2.360231815,75.44708605,24.55291395,"Republican","Yes",2,"Yes","Yes",0.106612091884551
"1296","05000US05071",0.076,0.892,38.1,"Arkansas","Johnson County",26225,49.65872259,50.34127741,92.55672069,2.249761678,1.143946616,1.940896092,0.106768351,2.001906578,85.99809342,14.00190658,"Republican","Yes",1,"No","Yes",0.21254528122021
"1297","05000US24047",0.112,0.93,49.1,"Maryland","Worcester County",51514,48.6411461,51.3588539,82.94055985,13.31676826,0.372714214,1.455914897,0.040765617,1.873277167,96.59510036,3.404899639,"Democrat","Yes",1,"No","No",0.108067709748806
"1298","05000US45039",0.094,0.77,44.1,"South Carolina","Fairfield County",22630,47.72867875,52.27132125,39.39902784,58.11312417,0.322580645,0.530269554,0.026513478,1.608484313,97.89659744,2.103402563,"Republican","Yes",1,"No","Yes",0.245956694653115
"1299","05000US21211",0.068,0.845,38.7,"Kentucky","Shelby County",46592,48.44179258,51.55820742,88.50661058,7.449776786,0.523695055,1.15470467,0.193166209,2.172046703,90.65290179,9.347098214,"Split","Yes",23,"No","No",0.119462568681319
"1300","05000US13187",0.086,0.75,36,"Georgia","Lumpkin County",31528,49.52106064,50.47893936,94.88391271,1.696904339,0.710479574,0.748540979,0.130043136,1.830119259,95.31527531,4.684724689,"Republican","Yes",1,"No","Yes",0.176319462065466
"1301","05000US02122",0.075,0.79,40.5,"Alaska","Kenai Peninsula Borough",58543,52.24877441,47.75122559,83.88876552,0.792579813,7.787438293,1.557829288,0.261346361,5.712040722,95.83383154,4.166168457,"Republican","Yes",4,"No","No",0.0949387629605589
"1302","05000US48419",0.068,0.944,36.9,"Texas","Shelby County",25777,49.7032238,50.2967762,78.0657175,17.86088373,0.965977422,1.652636071,0.073709121,1.381076153,81.81324437,18.18675563,"Republican","No",0,"Yes","Yes",0.215424603328549
"1303","05000US17165",0.104,0.78,42.4,"Illinois","Saline County",24253,49.32173339,50.67826661,92.89984744,3.921164392,0.449428937,0.659712201,0.082464025,1.987383004,98.21877706,1.781222941,"Democrat","Yes",9,"No","Yes",0.228177957366099
"1304","05000US42103",0.097,0.94,46,"Pennsylvania","Pike County",55191,50.26000616,49.73999384,89.90777482,6.298128318,0.449348626,1.47669004,0.034425903,1.833632295,89.47835698,10.52164302,"Republican","Yes",2,"No","Yes",0.100233733760939
"1305","05000US18001",0.066,0.939,33.8,"Indiana","Adams County",35232,49.73887375,50.26112625,97.9989782,0.437102634,0.366144414,0.363306085,0.019868302,0.814600363,95.53814714,4.461852861,"Republican","Yes",7,"No","No",0.156931198910082
"1306","05000US54005",0.074,0.76,41.9,"West Virginia","Boone County",22795,49.78284712,50.21715288,98.30664619,0.693134459,0.162316297,0.131607809,0.004386927,0.701908313,99.41215179,0.587848212,"Republican","Yes",10,"Yes","Yes",0.242553191489362
"1307","05000US47103",0.058,0.93,42.9,"Tennessee","Lincoln County",33528,48.91732283,51.08267717,89.64149368,7.006084467,0.838105464,0.495108566,0.15509425,1.864113577,96.76688141,3.233118587,"Republican","Yes",1,"No","No",0.164549033643522
"1308","05000US29167",0.065,0.89,37.5,"Missouri","Polk County",31412,48.9239781,51.0760219,95.94740863,0.897746084,0.703552782,0.837259646,0.022284477,1.591748376,97.60919394,2.390806061,"Republican","Yes",1,"Yes","Yes",0.175569845918757
"1309","05000US37009",0.102,0.8,46.6,"North Carolina","Ashe County",26754,49.35710548,50.64289452,97.1032369,0.915750916,0.332660537,0.541975032,0.044853106,1.061523511,94.81572849,5.184271511,"Republican","Yes",7,"No","Yes",0.205950512072961
"1310","05000US28153",0.108,0.76,36.7,"Mississippi","Wayne County",20450,48.16625917,51.83374083,58.50366748,40.01466993,0.278728606,0.259168704,0.039119804,0.904645477,98.4205379,1.579462103,"Republican","No",0,"No","Yes",0.269388753056235
"1311","05000US55019",0.069,0.942,37.1,"Wisconsin","Clark County",34558,50.61346143,49.38653857,97.45066265,0.520863476,0.680016205,0.465883442,0.046298976,0.836275247,95.44533827,4.554661728,"Republican","Yes",15,"Yes","Yes",0.159268476184964
"1312","05000US55109",0.048,0.95,37.6,"Wisconsin","St. Croix County",87645,49.9286896,50.0713104,96.1800445,0.76672942,0.433567231,1.142107365,0.038792858,1.438758629,97.68383821,2.316161789,"Republican","Yes",15,"Yes","Yes",0.0627759712476468
"1313","05000US51750",0.071,0.875,22.3,"Virginia","Radford city",17410,47.43825388,52.56174612,85.70361861,9.494543366,0.246984492,2.222860425,0.028719127,2.30327398,97.00172315,2.998276852,"Republican","No",0,"No","No",0.315738081562321
"1314","05000US54079",0.053,0.82,41,"West Virginia","Putnam County",56692,49.08981867,50.91018133,96.6168066,1.093628731,0.254004092,0.784943202,0.049389685,1.201227686,98.87814859,1.121851408,"Republican","Yes",10,"Yes","Yes",0.0969096168771608
"1315","05000US39065",0.076,0.941,35.4,"Ohio","Hardin County",31407,49.64816761,50.35183239,96.59948419,0.945649059,0.235616264,0.729136817,0.060496068,1.429617601,98.35705416,1.64294584,"Republican","Yes",7,"No","Yes",0.174833635813672
"1316","05000US13055",0.096,0.804,40.3,"Georgia","Chattooga County",24833,51.08122257,48.91877743,86.91257601,9.914227037,0.406716869,0.563765957,0.297990577,1.904723553,94.99859059,5.001409415,"Republican","Yes",1,"No","Yes",0.220996254983288
"1317","05000US21231",0.117,0.879,42,"Kentucky","Wayne County",20753,49.60246711,50.39753289,95.80301643,1.985255144,0.366212114,0.371030694,0.081915868,1.392569749,96.87755987,3.122440129,"Split","Yes",23,"No","No",0.263913651038404
"1318","05000US17141",0.107,0.938,41.5,"Illinois","Ogle County",51168,49.71271107,50.28728893,96.50953721,1.092479675,0.373280175,0.603893058,0.072310819,1.348499062,89.9351157,10.0648843,"Democrat","Yes",9,"No","Yes",0.107039555972483
"1319","05000US39135",0.077,0.908,41.9,"Ohio","Preble County",41105,49.51709038,50.48290962,97.1706605,0.661719985,0.316263228,0.625228074,0.021895147,1.204233062,99.19231237,0.807687629,"Republican","Yes",7,"No","Yes",0.133244130884321
"1320","05000US37091",0.094,0.825,41.7,"North Carolina","Hertford County",24096,49.10773572,50.89226428,36.04747676,60.64077025,1.274070385,0.734561753,0.070551129,1.232569721,96.29814077,3.70185923,"Republican","Yes",7,"No","Yes",0.227216135458167
"1321","05000US45001",0.09,0.77,43.3,"South Carolina","Abbeville County",24717,48.38774932,51.61225068,69.89116802,28.12234494,0.291297488,0.360076061,0.028320589,1.306792896,98.57992475,1.420075252,"Republican","Yes",1,"No","Yes",0.221345632560586
"1322","05000US13225",0.107,0.65,34.7,"Georgia","Peach County",26899,48.06126622,51.93873378,52.45176401,44.08342318,0.4684189,1.119000706,0.074352206,1.803041005,92.46812149,7.531878508,"Republican","Yes",1,"No","Yes",0.203390460611919
"1323","05000US42115",0.067,0.894,46.4,"Pennsylvania","Susquehanna County",41238,50.31524322,49.68475678,97.7811727,0.550463165,0.193995829,0.402541345,0.063048644,1.008778311,98.27586207,1.724137931,"Republican","Yes",2,"No","Yes",0.132280905960522
