,STNAME,STATE,COUNTY,CTYNAME,GEO,TOT_POP,prop_male,prop_female,prop_white,prop_black,prop_amin,prop_asian,prop_na,prop_two,prop_nohis,prop_his
684,Illinois,17,177,Stephenson County,05000US17177,45540,48.54633289,51.45366711,86.17918314,10.0153711,0.26130874,0.652173913,0.041721563,2.850241546,96.19894598,3.801054018
685,Illinois,17,179,Tazewell County,05000US17179,133967,49.26063881,50.73936119,96.13636194,1.272701486,0.318735211,0.856927452,0.034336814,1.380937096,97.71809475,2.281905245
686,Illinois,17,181,Union County,05000US17181,17115,49.71078002,50.28921998,96.16126205,1.115980134,0.631025416,0.473269062,0.040899796,1.577563541,94.92258253,5.07741747
687,Illinois,17,183,Vermilion County,05000US17183,78560,49.67158859,50.32841141,82.45417515,13.86328921,0.381873727,0.870672098,0.029276986,2.400712831,94.98727088,5.012729124
688,Illinois,17,185,Wabash County,05000US17185,11511,50.02171836,49.97828164,96.47293893,0.807922856,0.251932934,1.111979845,0.043436713,1.311788724,97.79341499,2.206585006
689,Illinois,17,187,Warren County,05000US17187,17307,49.23441382,50.76558618,92.61570463,2.83122436,0.485352747,2.108973248,0.190674294,1.768070723,90.47784134,9.522158664
690,Illinois,17,189,Washington County,05000US17189,14210,49.97185081,50.02814919,97.31175229,0.921885996,0.154820549,0.51372273,0.021111893,1.076706545,98.68402533,1.315974666
691,Illinois,17,191,Wayne County,05000US17191,16573,49.42376154,50.57623846,97.47179147,0.543051952,0.283593797,0.705967538,0.012067821,0.983527424,98.49152236,1.508477644
692,Illinois,17,193,White County,05000US17193,14088,49.04883589,50.95116411,97.58659852,0.638841567,0.411697899,0.362010221,0.049687677,0.951164111,98.50936968,1.490630324
693,Illinois,17,195,Whiteside County,05000US17195,56541,49.46499001,50.53500999,95.6279514,1.765090819,0.456306043,0.504059001,0.030066677,1.616526061,88.1501919,11.8498081
694,Illinois,17,197,Will County,05000US17197,689731,49.66588424,50.33411576,80.1337043,11.85636139,0.439011731,5.656553062,0.050454453,1.863915063,82.94958469,17.05041531
695,Illinois,17,199,Williamson County,05000US17199,67640,49.90833826,50.09166174,92.17474867,4.535777646,0.42282673,1.151685393,0.022176227,1.692785334,97.42607924,2.573920757
696,Illinois,17,201,Winnebago County,05000US17201,286088,48.85140237,51.14859763,80.78982691,13.08443556,0.551228992,2.810324096,0.051732334,2.712452113,87.51992394,12.48007606
697,Illinois,17,203,Woodford County,05000US17203,38933,49.71874759,50.28125241,97.13610562,0.667813937,0.26969409,0.685793543,0.028253667,1.212339147,98.21488198,1.785118023
698,Indiana,18,1,Adams County,05000US18001,35232,49.73887375,50.26112625,97.9989782,0.437102634,0.366144414,0.363306085,0.019868302,0.814600363,95.53814714,4.461852861
699,Indiana,18,3,Allen County,05000US18003,369972,48.84558831,51.15441169,80.5542041,11.99334004,0.474360222,3.910566205,0.103521348,2.964008087,92.62890165,7.371098353
700,Indiana,18,5,Bartholomew County,05000US18005,81873,50.17771426,49.82228574,88.61651582,2.247383142,0.487340149,6.952230894,0.072062829,1.624467163,93.37754815,6.622451846
701,Indiana,18,7,Benton County,05000US18007,8655,49.9248989,50.0751011,97.16926632,0.947429232,0.2310803,0.288850376,0.04621606,1.317157712,94.91623339,5.083766609
702,Indiana,18,9,Blackford County,05000US18009,12075,49.54037267,50.45962733,97.10973085,0.645962733,0.207039337,0.322981366,0.033126294,1.68115942,98.35196687,1.648033126
703,Indiana,18,11,Boone County,05000US18011,64239,49.66764738,50.33235262,93.8915612,1.72792229,0.252183253,2.504708977,0.034247108,1.58937717,97.11701614,2.882983857
704,Indiana,18,13,Brown County,05000US18013,15008,49.44696162,50.55303838,97.12819829,0.586353945,0.499733475,0.406449893,0.013326226,1.365938166,98.32755864,1.672441365
705,Indiana,18,15,Carroll County,05000US18015,19967,49.89232233,50.10767767,97.5760004,0.751239545,0.355586718,0.150247909,0.010016527,1.1569089,96.10857916,3.891420844
706,Indiana,18,17,Cass County,05000US18017,38013,50.15915608,49.84084392,93.32070607,1.970378555,1.052271591,1.838844606,0.197300923,1.620498251,84.92357878,15.07642122
707,Indiana,18,19,Clark County,05000US18019,115800,48.83592401,51.16407599,88.37219344,7.658031088,0.433506045,1.081174439,0.062176166,2.392918826,94.67184801,5.328151986
708,Indiana,18,21,Clay County,05000US18021,26203,49.3531275,50.6468725,97.59951151,0.614433462,0.290043125,0.328206694,0.034347212,1.133458001,98.6451933,1.354806702
709,Indiana,18,23,Clinton County,05000US18023,32267,49.6234543,50.3765457,97.57647132,0.660117148,0.467970372,0.365698701,0.04028884,0.889453621,84.4887966,15.5112034
710,Indiana,18,25,Crawford County,05000US18025,10581,50.69464134,49.30535866,97.46715811,0.557603251,0.453643323,0.207919856,0.07560722,1.238068236,98.60126642,1.398733579
711,Indiana,18,27,Daviess County,05000US18027,32997,50.18638058,49.81361942,96.30875534,1.703185138,0.384883474,0.542473558,0.115161984,0.945540504,95.15410492,4.845895081
712,Indiana,18,29,Dearborn County,05000US18029,49471,49.71599523,50.28400477,97.48539548,0.65492915,0.234480807,0.462897455,0.060641588,1.101655515,98.75078329,1.249216713
713,Indiana,18,31,Decatur County,05000US18031,26641,49.7954281,50.2045719,96.70432792,0.548027476,0.225216771,1.553995721,0.037536129,0.930895987,98.05938216,1.940617845
714,Indiana,18,33,DeKalb County,05000US18033,42620,49.72782731,50.27217269,97.54106053,0.455185359,0.302674801,0.541999061,0.065696856,1.093383388,97.18207414,2.817925856
715,Indiana,18,35,Delaware County,05000US18035,115483,48.31187274,51.68812726,88.89360339,7.242624456,0.274499277,1.309283618,0.058017197,2.221972065,97.60744006,2.392559944
716,Indiana,18,37,Dubois County,05000US18037,42456,49.82099114,50.17900886,97.48680987,0.708969286,0.275579423,0.612398719,0.179008856,0.737233842,92.4981157,7.501884304
